-4.0	-3.0
-72.0	-12.0
-91.0	-15.0
-97.0	-13.0
-104.0	-8.0
-106.0	-1.0
-111.0	12.0
-115.0	20.0
-117.0	24.0
-118.0	31.0
-119.0	42.0
-119.0	50.0
-117.0	60.0
-113.0	71.0
-109.0	80.0
-105.0	88.0
-97.0	101.0
-88.0	114.0
-84.0	117.0
-68.0	130.0
-59.0	138.0
-47.0	144.0
-29.0	154.0
-22.0	156.0
-13.0	156.0
0.0	157.0
9.0	157.0
15.0	157.0
26.0	157.0
31.0	157.0
36.0	157.0
40.0	156.0
46.0	153.0
52.0	149.0
56.0	144.0
60.0	137.0
63.0	132.0
64.0	125.0
66.0	113.0
66.0	106.0
67.0	96.0
68.0	87.0
71.0	73.0
75.0	55.0
81.0	38.0
88.0	24.0
98.0	13.0
111.0	8.0
137.0	18.0
159.0	44.0
167.0	78.0
167.0	96.0
167.0	100.0
166.0	102.0
